Memory		Disk		CPU
77.72%		9%		0.91%		
77.63%		9%		0.92%		
77.73%		9%		0.93%		
77.93%		9%		0.93%		
77.96%		9%		1.74%		
78.01%		9%		2.48%		
78.04%		9%		3.16%		
78.02%		9%		3.71%		
78.20%		9%		4.30%		
78.04%		9%		4.83%		
78.37%		9%		5.25%		
77.98%		9%		5.79%		
78.45%		9%		6.37%		
78.39%		9%		6.82%		
78.28%		9%		7.15%		
78.12%		9%		7.46%		
78.29%		9%		7.74%		
78.60%		9%		8.09%		
78.15%		9%		8.32%		
78.00%		9%		8.53%		
78.16%		9%		8.73%		
78.74%		9%		8.91%		
78.20%		9%		9.08%		
78.05%		9%		9.23%		
78.20%		9%		9.43%		
78.05%		9%		9.48%		
78.87%		9%		9.60%		
78.72%		9%		9.63%		
77.94%		9%		9.82%		
77.88%		9%		9.92%		
78.09%		9%		10.00%		
77.89%		9%		10.00%		
78.48%		9%		10.40%		
78.31%		9%		10.53%		
77.48%		9%		10.57%		
77.39%		9%		10.68%		
77.50%		9%		10.63%		
77.29%		9%		10.74%		
77.54%		9%		10.76%		
78.52%		9%		10.78%		
78.66%		9%		10.88%		
78.50%		9%		11.05%		
77.50%		9%		11.12%		
77.30%		9%		11.20%		
77.46%		9%		10.54%		
77.32%		9%		10.58%		
77.48%		9%		10.69%		
77.32%		9%		10.79%		
78.88%		9%		10.97%		
78.73%		9%		10.97%		
78.89%		9%		10.98%		
77.34%		9%		11.06%		
77.49%		9%		10.39%		
77.34%		9%		10.36%		
77.50%		9%		10.41%		
77.34%		9%		10.45%		
77.50%		9%		10.50%		
77.35%		9%		9.74%		
77.51%		9%		9.76%		
77.36%		9%		9.86%		
79.15%		9%		9.87%		
78.99%		9%		9.96%		
79.15%		9%		10.04%		
79.00%		9%		10.12%		
77.67%		9%		9.39%		
77.52%		9%		9.44%		
77.68%		9%		8.76%		
77.53%		9%		8.86%		
77.69%		9%		9.03%		
77.53%		9%		9.19%		
77.69%		9%		8.78%		
77.54%		9%		9.03%		
79.48%		9%		8.55%		
79.35%		9%		8.91%		
79.49%		9%		9.16%		
79.35%		9%		9.38%		
78.22%		9%		9.67%		
77.61%		9%		9.86%		
78.00%		9%		10.03%		
78.03%		9%		10.34%		
77.71%		9%		10.12%		
77.56%		9%		10.35%		
77.56%		9%		10.32%		
77.42%		9%		10.29%		
77.59%		9%		10.27%		
77.44%		9%		10.25%		
